label,digest_bits,msg_bytes,elapsed_seconds,iterations,cycles,cycles_per_byte,ops_per_second,sink
avx512,512,32,0.100184,101632,260469200,80.089563,1014455.809528,4189390064
avx512,512,128,0.100100,71168,260253914,28.569493,710967.857389,2514598805
avx512,512,512,0.100279,36608,260719384,13.910007,365060.564309,2728983213
avx512,512,1024,0.100525,22272,261356506,11.459724,221557.308737,111799943
avx512,512,4096,0.102587,6400,266720168,10.174567,62385.974045,3194068969
avx512,512,8192,0.103659,3328,269506680,9.885446,32105.136049,1097356550
avx512,512,16384,0.109902,1792,285739646,9.732234,16305.367762,2516925666
avx512,512,65536,0.124571,512,323878236,9.652324,4110.097241,3507900843
avx512,768,32,0.100172,100096,260439950,81.309427,999242.419720,2944738036
avx512,768,128,0.100121,69888,260307348,29.098717,698037.358640,2931911236
avx512,768,512,0.100087,31488,260218990,16.140759,314607.322813,3696167099
avx512,768,1024,0.100885,17408,262294208,14.714309,172553.206109,917585906
avx512,768,4096,0.100247,4608,260635398,13.808960,45966.470793,269793311
avx512,768,8192,0.112378,2304,292173600,15.479914,20502.294820,2491988223
avx512,768,16384,0.106431,1280,276712772,13.194693,12026.580685,1978302984
avx512,768,65536,0.178361,512,463731008,13.820261,2870.579509,599235851
avx512,1024,32,0.100289,65280,260744512,124.820251,650917.114477,1415416645
avx512,1024,128,0.100005,42752,260006580,47.513600,427498.470237,1083395461
avx512,1024,512,0.101911,16384,264962406,31.585980,160766.986805,4037325228
avx512,1024,1024,0.100226,10496,260581608,24.244877,104722.846566,1279761063
avx512,1024,4096,0.104797,3072,272464950,21.653569,29313.873008,2649800945
avx512,1024,8192,0.100110,1280,260276886,24.821938,12785.993042,2364180291
avx512,1024,16384,0.133053,1024,345931610,20.619131,7696.156705,1895040134
avx512,1024,65536,0.139493,256,362672386,21.616959,1835.221829,2913569832
