label,digest_bits,msg_bytes,elapsed_seconds,iterations,cycles,cycles_per_byte,ops_per_second,sink
performance_optimized,512,32,0.100028,174592,260064168,46.548555,1745423.725319,4189390064
performance_optimized,512,128,0.100025,96512,260059524,21.051424,964877.450203,2514598805
performance_optimized,512,512,0.100484,40960,261251788,12.457456,407627.362379,2728983213
performance_optimized,512,1024,0.100275,23040,260709364,11.050303,229767.726615,111799943
performance_optimized,512,4096,0.102558,6144,266643856,10.595475,59907.572109,3194068969
performance_optimized,512,8192,0.100615,3072,261592798,10.394764,30532.135131,1097356550
performance_optimized,512,16384,0.116573,1792,303082658,10.322934,15372.364103,2516925666
performance_optimized,512,65536,0.133692,512,347594212,10.359115,3829.684344,3507900843
performance_optimized,768,32,0.100078,91904,260197344,88.474571,918322.410776,2944738036
performance_optimized,768,128,0.100057,64256,260142806,31.629197,642191.998904,2931911236
performance_optimized,768,512,0.100839,29184,262176030,17.546003,289410.802398,3696167099
performance_optimized,768,1024,0.100283,15872,260730126,16.042040,158271.559860,917585906
performance_optimized,768,4096,0.105606,4608,274568690,14.547173,43634.032612,269793311
performance_optimized,768,8192,0.104188,2304,270880760,14.351779,22113.961843,2491988223
performance_optimized,768,16384,0.114275,1280,297107850,14.167206,11201.084691,1978302984
performance_optimized,768,65536,0.182018,512,473240140,14.103655,2812.902357,599235851
performance_optimized,1024,32,0.100353,61696,260911506,132.155805,614790.415444,1415416645
performance_optimized,1024,128,0.100617,38912,261597260,52.521808,386735.094653,1083395461
performance_optimized,1024,512,0.101008,16896,262615798,30.357569,167273.287295,4037325228
performance_optimized,1024,1024,0.100603,9728,261560216,26.257185,96697.029232,1279761063
performance_optimized,1024,4096,0.104264,2816,271080196,23.502020,27008.330946,2649800945
performance_optimized,1024,8192,0.111081,1536,288804948,22.952155,13827.726631,2364180291
performance_optimized,1024,16384,0.110036,768,286085844,22.736060,6979.564768,1895040134
performance_optimized,1024,65536,0.145677,256,378753162,22.575448,1757.314160,2913569832
