label,digest_bits,msg_bytes,elapsed_seconds,iterations,cycles,cycles_per_byte,ops_per_second,sink
reference,512,32,0.100671,15104,261734156,541.524919,150033.877939,4189390064
reference,512,128,0.101810,7680,264698934,269.265680,75434.904401,2514598805
reference,512,512,0.101082,3072,262806526,167.087889,30391.086099,2728983213
reference,512,1024,0.105961,1792,275493792,150.132202,16911.809454,111799943
reference,512,4096,0.117475,512,305427402,145.639134,4358.386726,3194068969
reference,512,8192,0.115737,256,300909694,143.484923,2211.914256,1097356550
reference,512,16384,0.229757,256,597360942,142.421947,1114.220795,2516925666
reference,512,65536,0.917312,256,2385003886,142.157309,279.076245,3507900843
reference,768,32,0.100622,7936,261611618,1030.161676,78869.131243,2944738036
reference,768,128,0.102894,5376,267516894,388.760367,52248.169233,2931911236
reference,768,512,0.101892,2304,264913164,224.569672,22612.149890,3696167099
reference,768,1024,0.104724,1280,272276814,207.730724,12222.584915,917585906
reference,768,4096,0.154142,512,400761528,191.097988,3321.619648,269793311
reference,768,8192,0.152518,256,396539646,189.084838,1678.494810,2491988223
reference,768,16384,0.301865,256,784842686,187.121078,848.061407,1978302984
reference,768,65536,1.198822,256,3116929086,185.783451,213.543046,599235851
reference,1024,32,0.100169,4352,260433638,1870.071504,43446.411597,1415416645
reference,1024,128,0.107296,2816,278963920,773.936657,26245.134628,1083395461
reference,1024,512,0.115479,1280,300238594,458.127737,11084.287330,4037325228
reference,1024,1024,0.120591,768,313527798,398.671211,6368.654262,1279761063
reference,1024,4096,0.144931,256,376814336,359.358154,1766.360148,2649800945
reference,1024,8192,0.284219,256,738959826,352.363503,900.715467,2364180291
reference,1024,16384,0.562651,256,1462885332,348.779042,454.989245,1895040134
reference,1024,65536,2.235101,256,5811255892,346.377843,114.536210,2913569832
