label,digest_bits,msg_bytes,elapsed_seconds,iterations,cycles,cycles_per_byte,ops_per_second,sink
resource_optimized,512,32,0.100148,152832,260376198,53.239872,1526062.340040,4189390064
resource_optimized,512,128,0.100252,84992,260648324,23.958902,847786.746229,2514598805
resource_optimized,512,512,0.100488,36096,261260930,14.136615,359207.443729,2728983213
resource_optimized,512,1024,0.101207,20480,263130884,12.547058,202358.037496,111799943
resource_optimized,512,4096,0.101773,5376,264602218,12.016397,52823.585734,3194068969
resource_optimized,512,8192,0.104194,2816,270897486,11.743090,27026.538588,1097356550
resource_optimized,512,16384,0.113527,1536,295161876,11.728679,13529.848188,2516925666
resource_optimized,512,65536,0.151274,512,393303786,11.721366,3384.586923,3507900843
resource_optimized,768,32,0.100280,76800,260720626,106.087494,765859.132996,2944738036
resource_optimized,768,128,0.100209,53248,260537914,38.225895,531367.889387,2931911236
resource_optimized,768,512,0.100693,24064,261793720,21.248166,238984.530479,3696167099
resource_optimized,768,1024,0.101837,13312,264768768,19.423321,130719.233247,917585906
resource_optimized,768,4096,0.100356,3584,260917124,17.773569,35712.935949,269793311
resource_optimized,768,8192,0.113033,2048,293877912,17.516489,18118.642778,2491988223
resource_optimized,768,16384,0.111159,1024,289005488,17.226069,9212.055812,1978302984
resource_optimized,768,65536,0.110246,256,286632082,17.084603,2322.084207,599235851
resource_optimized,1024,32,0.100363,52224,260936300,156.140077,520352.065462,1415416645
resource_optimized,1024,128,0.100181,32512,260464278,62.588496,324532.263138,1083395461
resource_optimized,1024,512,0.101692,14336,264392704,36.020647,140975.161845,4037325228
resource_optimized,1024,1024,0.100757,8192,261961058,31.228192,81304.836600,1279761063
resource_optimized,1024,4096,0.102231,2304,265794670,28.164617,22537.154608,2649800945
resource_optimized,1024,8192,0.111246,1280,289231870,27.583301,11506.082822,2364180291
resource_optimized,1024,16384,0.131502,768,341898694,27.171667,5840.220625,1895040134
resource_optimized,1024,65536,0.174605,256,453966706,27.058524,1466.162839,2913569832
