label,digest_bits,msg_bytes,elapsed_seconds,iterations,cycles,cycles_per_byte,ops_per_second,sink
x86_64_resource_optimized,512,32,3.000043,4437504,7800103116,54.930254,1479146.801145,4189390064
x86_64_resource_optimized,512,128,3.000434,2468096,7801118922,24.693627,822579.622369,2514598805
x86_64_resource_optimized,512,512,3.000293,1040128,7800752496,14.648048,346675.523374,2728983213
x86_64_resource_optimized,512,1024,3.000831,589312,7802154808,12.929131,196382.912432,111799943
x86_64_resource_optimized,512,4096,3.000297,154624,7800765704,12.316871,51536.224645,3194068969
x86_64_resource_optimized,512,8192,3.005301,78592,7813777220,12.136480,26151.120321,1097356550
x86_64_resource_optimized,512,16384,3.016584,39936,7843110814,11.986816,13238.816457,2516925666
x86_64_resource_optimized,512,65536,3.022826,10240,7859339032,11.711328,3387.558938,3507900843
x86_64_resource_optimized,768,32,3.000180,2434304,7800460816,100.137206,811386.039808,2944738036
x86_64_resource_optimized,768,128,3.000128,1699328,7800327114,35.861267,566418.459907,2931911236
x86_64_resource_optimized,768,512,3.000626,764416,7801620452,19.933570,254752.187253,3696167099
x86_64_resource_optimized,768,1024,3.000518,419584,7801340288,18.157261,139837.199061,917585906
x86_64_resource_optimized,768,4096,3.006761,115456,7817572084,16.530860,38398.792804,269793311
x86_64_resource_optimized,768,8192,3.010197,58880,7826506246,16.225952,19560.181230,2491988223
x86_64_resource_optimized,768,16384,3.007516,29696,7819534770,16.071745,9873.929854,1978302984
x86_64_resource_optimized,768,65536,3.089666,7680,8033124116,15.960384,2485.705716,599235851
x86_64_resource_optimized,1024,32,3.000385,1677056,7800994910,145.362523,558946.872095,1415416645
x86_64_resource_optimized,1024,128,3.000013,1049856,7800026078,58.043869,349950.511429,1083395461
x86_64_resource_optimized,1024,512,3.001337,453888,7803468944,33.579099,151228.614035,4037325228
x86_64_resource_optimized,1024,1024,3.000055,262144,7800136192,29.057772,87379.727026,1279761063
x86_64_resource_optimized,1024,4096,3.008035,73472,7820882894,25.988067,24425.250975,2649800945
x86_64_resource_optimized,1024,8192,3.014456,37632,7837578678,25.423461,12483.844892,2364180291
x86_64_resource_optimized,1024,16384,3.007814,18944,7820309240,25.196041,6298.262033,1895040134
x86_64_resource_optimized,1024,65536,3.073242,4864,7990423548,25.066650,1582.693206,2913569832
